year,FAO,NPFC
1969,5400,7410
1970,4100,26263
1971,5900,5546
1972,34700,34827
1973,28400,28360
1974,23500,26287
1975,18600,21745
1976,25800,24830
1977,2900,3449
1978,900,876
1979,500,501
1980,1800,1838
1981,1100,1211
1982,0,524
1983,0,53
1984,0,175
1985,0,91
1986,0,899
1987,0,455
1988,0,180
1989,0,139
1990,0,3303
1991,0,732
1992,0,14602.99
1993,0,9422.281
1994,0,1936.564
1995,0,2182.328
1996,0,723.897
1997,0,1055.822
1998,0,726.943
1999,0,259.035
2000,0,186.452
2001,0,78.27
2002,0,209.32
2003,0,448.958
2004,0,12640.644
2005,0,5637.608
2006,0,1487.639
2007,0,1607.374
2008,0,5873.575
2009,0,1042.563
2010,0,18215.06984
2011,0,3174.617552
2012,0,19622.9042
2013,0,2350.201469
2014,0,1440.588928
2015,0,714.3685548
2016,0,175.5419347
2017,0,260.9
2018,0,674.2
2019,0,327.6
2020,0,26.4
