SPECIES_COMMON_NAME,grouping
REPTANTIA,Crabs and invertebrates
GOLDEN KING CRAB,Crabs and invertebrates
INSHORE TANNER CRAB,Crabs and invertebrates
RED QUEEN CRAB,Crabs and invertebrates
SPIDER CRABS,Crabs and invertebrates
TANNER CRABS,Crabs and invertebrates
LITHODIO CRABS,Crabs and invertebrates
BRISTLY CRAB,Crabs and invertebrates
TRUE CRABS,Crabs and invertebrates
CRABS,Crabs and invertebrates
STARFISH,Crabs and invertebrates
SEA CUCUMBERS,Crabs and invertebrates
JELLYFISH,Crabs and invertebrates
MOLLUSCS,Crabs and invertebrates
OCTOPUS,Crabs and invertebrates
SEA URCHINS,Crabs and invertebrates
SEA LILIES AND FEATHER STARS,Crabs and invertebrates
OREGONTRITON,Crabs and invertebrates
OPHIURAE,Crabs and invertebrates
GASTROPODS,Crabs and invertebrates
<NA>,Crabs and invertebrates
INANIMATE OBJECT(S),NA
LUMPFISHES AND SNAILFISHES,Other fishes
ENGLISH SOLE,Other fishes
CLOSESPINE SNIPE EEL,Other fishes
REX SOLE,Other fishes
SOUTHERN ROCK SOLE,Other fishes
UNKNOWN FISH,Other fishes
SNIPE EELS,Other fishes
LONGFIN DRAGONFISH,Other fishes
PACIFIC FLATNOSE,Other fishes
GIANT GRENADIER,Other fishes
DOVER SOLE,Other fishes
TADPOLE SCULPIN,Other fishes
PACIFIC COD,Other fishes
LINGCOD,Other fishes
SNAILFISHES,Other fishes
PACIFIC HALIBUT,Other fishes
VIPERFISHES,Other fishes
GRENADIERS,Other fishes
PACIFIC VIPERFISH,Other fishes
DEEPSEA SOLE,Other fishes
ABYSSAL SNAILFISH,Other fishes
THREADFIN GRENADIER,Other fishes
PACIFIC GRENADIER,Other fishes
SCULPINS,Other fishes
ROCK SOLE,Other fishes
LEFTEYE FLOUNDERS,Other fishes
ARROWTOOTH FLOUNDER,Other fishes
FLATFISHES,Other fishes
SPOTTED RATFISH,Other fishes
VERMILION ROCKFISH,Rockfish
REDSTRIPE ROCKFISH,Rockfish
BOCACCIO,Rockfish
YELLOWTAIL ROCKFISH,Rockfish
SCORPIONFISHES,Rockfish
SPLITNOSE ROCKFISH,Rockfish
STRIPETAIL ROCKFISH,Rockfish
SHORTRAKER ROCKFISH,Rockfish
DEACON ROCKFISH,Rockfish
SCORPIONFISH,Rockfish
CANARY ROCKFISH,Rockfish
DARKBLOTCHED ROCKFISH,Rockfish
CHILIPEPPER,Rockfish
ROSETHORN ROCKFISH,Rockfish
AURORA ROCKFISH,Rockfish
HARLEQUIN ROCKFISH,Rockfish
WIDOW ROCKFISH,Rockfish
PACIFIC OCEAN PERCH,Rockfish
SILVERGRAY ROCKFISH,Rockfish
ROCKFISHES,Rockfish
REDBANDED ROCKFISH,Rockfish
ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,Rougheye/blackspotted rockfish complex
SABLEFISH,Sablefish
GLASS SPONGES,Crabs and invertebrates
HYDROID,Crabs and invertebrates
STONY CORALS,Crabs and invertebrates
CALCAREOUS SPONGES,Crabs and invertebrates
GORGONIAN CORALS,Crabs and invertebrates
SPONGES,Crabs and invertebrates
BROWN CAT SHARK,Other fishes
BLUE SHARK,Other fishes
UNIDENTIFIED SHARK,Other fishes
PACIFIC SLEEPER SHARK,Other fishes
NORTH PACIFIC SPINY DOGFISH,Other fishes
SANDPAPER SKATE,Other fishes
LONGNOSE SKATE,Other fishes
SKILFISH,Skilfish
LONGSPINE THORNYHEAD,Thornyhead
SHORTSPINE THORNYHEAD,Thornyhead
THORNYHEADS,Thornyhead
